Cluster-Nummer;Cluster-Name;Subskalen;Code;Items;invertiert
1; Analytisches und kritisches Denken;Analytisches Denken;1AD01;Ich identifiziere Annahmen, die einem Argument zugrunde liegen.;
1; Analytisches und kritisches Denken;Analytisches Denken;1AD02;Ich stelle Fragen, um die Genauigkeit von Beweisen zu überprüfen.;
1; Analytisches und kritisches Denken;Analytisches Denken;1AD03;Wenn ich verschiedene Meinungen höre, fällt es mir schwer, Gemeinsamkeiten oder Unterschiede darin zu erkennen.;True
1; Analytisches und kritisches Denken;Analytisches Denken;1AD04;Ich suche aktiv nach zusätzlichen Informationen, um eine fundierte Einschätzung vorzunehmen.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM01;Ich unterteile komplexe Probleme in kleinere, handhabbare Teile.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM02;Muster und Strukturen in Argumenten oder Daten zu finden, gehört zu meinen Stärken.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM03;Ich untersuche den Denkprozess hinter einem Argument.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM04;Ich verwende strukturierte Ansätze, um verschiedene Lösungen zu bewerten.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV01;Ich bewerte die Relevanz von Informationen im gegebenen Kontext.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV02;Um fundierte Entscheindungen treffen zu können, analysiere ich verschiedene Lösungen sorgfältig.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV03;Ich bewerte die Glaubwürdigkeit von Quellen kritisch, bevor ich mich auf sie verlasse.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV04;Ich ziehe mögliche Konsequenzen in Betracht, bevor ich eine Entscheidung treffe.;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD01;Ich betrachte verschiedene Perspektiven, wenn ich ein Problem analysiere. ;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD02;Ich identifiziere Verbindungen zwischen verschiedenen Konzepten oder Argumenten.;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD03;Bei meinen Denkprozessen betrachte ich Probleme aus mehreren Blickwinkeln.;
1; Analytisches und kritisches Denken;Problemlösefähigkeit;1PF01;Ich generiere mehrere Optionen, bevor ich eine Lösung auswähle.;
1; Analytisches und kritisches Denken;Problemlösefähigkeit;1PF02;Ich bewerte die Durchführbarkeit von Lösungen, bevor ich sie umsetze.;
1; Analytisches und kritisches Denken;Kritisches Denken;1KD01;Wenn neue Beweise meinen ursprünglichen Glauben widerlegen, überarbeite ich meine Schlussfolgerungen.;
2;Kommunikative Fähigkeit;Kommunikationsfähigkeit;2KF01;Ich drücke meine Gedanken klar und präzise aus.;
2;Kommunikative Fähigkeit;Kommunikationsfähigkeit;2KF02;Ich passe meine Sprache an verschiedene Zuhörer an.;
2;Kommunikative Fähigkeit;Kommunikationsfähigkeit;2KF03;Ich organisiere meine Ideen logisch, wenn ich spreche.;
2;Kommunikative Fähigkeit;Kommunikationsfähigkeit;2KF04;Selbst in schwierigen Situationen kann ich meine Aussagen effektiv kommunizieren.;
2;Kommunikative Fähigkeit;Sprachen;2SP01;Es fällt mir manchmal schwer, die richtigen Worte zu finden. ;True
2;Kommunikative Fähigkeit;Sprachen;2SP02;Ich vermeide vage Ausdrücke wie „Du weißt, was ich meine“.;
2;Kommunikative Fähigkeit;Sprachen;2SP03;Ich muss Texte öfter lesen um sie genau zu verstehen. ;True
2;Kommunikative Fähigkeit;Dialogfähigkeit;2DF01;Ich weiß, wann ich sprechen und wann ich zuhören sollte.;
2;Kommunikative Fähigkeit;Dialogfähigkeit;2DF02;Ich halte das Gespräch am Laufen, indem ich relevante Fragen stelle.;
2;Kommunikative Fähigkeit;Dialogfähigkeit;2DF03;Ich kann Themen fließend wechseln, ohne den Gesprächsfluss zu stören.;
2;Kommunikative Fähigkeit;Dialogfähigkeit;2DF04;Ich bin gut darin, die wichtigsten Punkte in einer Diskussion zusammenzufassen.;
2;Kommunikative Fähigkeit;Kundenorientierung;2KO01;Ich höre aktiv zu, um die Bedürfnisse und Perspektiven anderer vollständig zu verstehen.;
2;Kommunikative Fähigkeit;Kundenorientierung;2KO02;Ich stelle sicher, dass meine Kommunikation respektvoll bleibt, auch wenn ich unterschiedliche Meinungen bespreche.;
2;Kommunikative Fähigkeit;Verständnisfähigkeit;2VF01;Ich kann die Schlüsselpunkte einer Diskussion schnell erfassen.;
2;Kommunikative Fähigkeit;Verständnisfähigkeit;2VF02;Ich muss andere selten bitten, das Gesagte zu wiederholen.;
2;Kommunikative Fähigkeit;Verständnisfähigkeit;2VF03;Ich kann komplexen Gesprächen selbst in lauten Umgebungen folgen.;
2;Kommunikative Fähigkeit;Schlagfertigkeit;2SF01;In unerwarteten Gesprächen finde ich schnell passende Worte.;
2;Kommunikative Fähigkeit;Schlagfertigkeit;2SF02;Wenn mich jemand provoziert, bin ich oft sprachlos oder überfordert.;True
2;Kommunikative Fähigkeit;Verhandlungsfähigkeit;2VF01;Ich bleibe ruhig und artikuliert während schwieriger Diskussionen.;
2;Kommunikative Fähigkeit;Verhandlungsfähigkeit;2VF02;Ich finde Kompromisse, die beide Parteien zufriedenstellen.;
2;Kommunikative Fähigkeit;Verhandlungsfähigkeit;2VF03;Ich verwende überzeugende Argumente, um meinen Standpunkt zu unterstützen.;
3;Fach- und Wissenskompetenz;Fachübergreifendes Verständnis;3FV01;Ich kombiniere mein Wissen aus verschiedenen Bereichen, um neue Ideen oder Lösungen zu entwickeln.;
3;Fach- und Wissenskompetenz;Fachübergreifendes Verständnis;3FV02;Wenn mehrere Fachrichtungen beteiligt sind, fällt es mir schwer, den Überblick über die unterschiedlichen Denkweisen zu behalten.;True
3;Fach- und Wissenskompetenz;Fachübergreifendes Verständnis;3FV03;Wenn ich ein neues Thema bearbeite, recherchiere ich bewusst in mehreren Disziplinen, um verschiedene Perspektiven zu gewinnen.;
3;Fach- und Wissenskompetenz;Wissenstheorie;3WT01;Bevor ich Wissen übernehme, hinterfrage ich, wie verlässlich die Quelle ist. ;
3;Fach- und Wissenskompetenz;Wissenstheorie;3WT02;Bei meinen Recherchen achte ich darauf, Informationen aus verschiedenen Quellen auf ihre Verlässlichkeit zu prüfen. ;
3;Fach- und Wissenskompetenz;Wissenstheorie;3WT03;Ich vertraue Berichten aus wissenschaftlichen Papern und Zeitungsartikeln. ;True
3;Fach- und Wissenskompetenz;Expertise;3EX01;Ich habe umfassendes Wissen in meinem Fachgebiet.;
3;Fach- und Wissenskompetenz;Expertise;3EX02;Ich halte mich über die neuesten Entwicklungen in meinem Bereich auf dem Laufenden.;
3;Fach- und Wissenskompetenz;Expertise;3EX03;Ich setze meine Expertise ein, um praktische Probleme zu lösen.;
3;Fach- und Wissenskompetenz;Expertise;3EX04;Ich kann komplexe Themen in meinem Fachgebiet für Laien verständlich erklären.;
3;Fach- und Wissenskompetenz;Fachliche Anerkennung;3FA01;Meine Expertise wird von Kollegen und Fachleuten in meinem Bereich anerkannt.;
3;Fach- und Wissenskompetenz;Fachliche Anerkennung;3FA02;Ich werde oft um Rat in meinem Fachgebiet gebeten.;
3;Fach- und Wissenskompetenz;Fachliche Anerkennung;3FA03;Ich trage zu fachlichen Diskussionen und Wissensaustausch bei.;
3;Fach- und Wissenskompetenz;Technikaffinität;3TA01;Ich passe mich schnell an neue Technologien und digitale Tools an.;
3;Fach- und Wissenskompetenz;Technikaffinität;3TA02;Ich habe Freude daran, zu erkunden, wie Technologie Effizienz und Problemlösungen verbessern kann.;
3;Fach- und Wissenskompetenz;Technikaffinität;3TA03;Ich verstehe die grundlegenden Prinzipien hinter den Technologien, die ich nutze.;
4;Soziale Kompetenz;Teamfähigkeit;4TF01;Ich arbeite gern mit anderen zusammen, um gemeinsame Ziele zu erreichen.;
4;Soziale Kompetenz;Teamfähigkeit;4TF02;Ich halte meine Teammitglieder über den Fortschritt meiner Aufgaben auf dem Laufenden.;
4;Soziale Kompetenz;Teamfähigkeit;4TF03;Ich bearbeite Aufgaben lieber alleine als im Team. ;True
4;Soziale Kompetenz;Teamfähigkeit;4TF04;Ich übernehme Verantwortung für meine Aufgaben im Team.;
4;Soziale Kompetenz;Kooperationsfähigkeit;4KF01;Ich halte eine gute Zusammenarbeit im Team für entscheidend, um Projekte erfolgreich umzusetzen.;
4;Soziale Kompetenz;Kooperationsfähigkeit;4KF02;Ich versuche, die Zusammenarbeit mit anderen zu fördern, indem ich deren Stärken in die Teamarbeit einbringe.;
4;Soziale Kompetenz;Kooperationsfähigkeit;4KF03;Ich unterstütze andere bei der Erreichung ihrer Aufgaben, auch wenn diese nicht direkt meine eigenen betreffen.;
4;Soziale Kompetenz;Kooperationsfähigkeit;4KF04;Ich kann flexibel auf Veränderungen in der Teamstruktur oder den Aufgaben reagieren.;
4;Soziale Kompetenz;Beziehungsmanagement;4BM01;Ich bemühe mich, Beziehungen zu meinen Kolleg:innen zu pflegen, auch außerhalb des Arbeitkontexts.;
4;Soziale Kompetenz;Beziehungsmanagement;4BM02;Ich achte darauf, dass meine Kommunikation stets respektvoll und empathisch ist.;
4;Soziale Kompetenz;Beziehungsmanagement;4BM03;Wenn es im Team unterschiedliche Meinungen gibt, bemühe ich mich, diese zu verstehen und miteinzubeziehen. ;
4;Soziale Kompetenz;Beziehungsmanagement;4BM04;Ich bemühe mich, ein harmonisches Teamklima zu schaffen, in dem sich alle wohlfühlen.;
4;Soziale Kompetenz;Fehlerkultur und Konfliktlösefähigkeit ;4FK01;Ich gehe Konflikten offen und konstruktiv entgegen, um eine Lösung zu finden.;
4;Soziale Kompetenz;Fehlerkultur und Konfliktlösefähigkeit ;4FK02;Ich nehme mir Zeit, um Konflikte in meinem Team zu klären, anstatt sie zu ignorieren.;
4;Soziale Kompetenz;Fehlerkultur und Konfliktlösefähigkeit ;4FK03;Ich spreche Fehler offen an, auch wenn sie unangenehm sind, um gemeinsam eine Lösung zu finden.;
4;Soziale Kompetenz;Integrationsfähigkeit als Katalysator;4IK01;Ich kann unterschiedliche Perspektiven und Meinungen so integrieren, dass ein gemeinsames Verständnis entsteht.;
4;Soziale Kompetenz;Integrationsfähigkeit als Katalysator;4IK02;Ich unterstütze andere dabei, sich schnell in neue Teamkonstellationen und Arbeitsumfelder einzufinden.;
4;Soziale Kompetenz;Humor;4HU01;Ich bringe regelmäßig Humor in den Arbeitsalltag ein, um eine lockere Atmosphäre zu schaffen.;
4;Soziale Kompetenz;Humor;4HU02;Ich achte darauf, dass mein Humor respektvoll bleibt und niemanden verletzt.;
5;Selbstwirksamkeit und Selbstbewusstsein;AKSU - Selbstwirksamkeit;5SW01;In schwierigen Situationen kann ich mich auf meine Fähigkeiten verlassen. ;
5;Selbstwirksamkeit und Selbstbewusstsein;AKSU - Selbstwirksamkeit;5SW02;Die meisten Probleme kann ich aus eigener Kraft gut meistern.;
5;Selbstwirksamkeit und Selbstbewusstsein;AKSU - Selbstwirksamkeit;5SW03;Auch anstrengende und komplizierte Aufgaben kann ich in der Regel gut lösen. ;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV01;Ich fühle mich wertgeschätzt.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV02;Ich fühle mich schweren Situationen gewachsen.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV03;Gut über mich zu sprechen, fällt mir leicht.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV04;Ich glaube an mich.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV05;Ich habe viele positive Seiten.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV06;Ich bin ein wertvoller Mensch.;
5;Selbstwirksamkeit und Selbstbewusstsein;STARC-5 - Self-esteem/Selbstvertrauen ;5SV07;Ich traue mir zu, alles zu schaffen.;
6;Beratungs- und Führungskompetenz;Beratungsfähigkeit;6BF01;Wenn ich Gespräche leite, überlege ich mir vorher eine Struktur und ein Ziel.;
6;Beratungs- und Führungskompetenz;Beratungsfähigkeit;6BF02;Ich unterstütze mein Team dabei, eigene Lösungen zu entwickeln.;
6;Beratungs- und Führungskompetenz;Beratungsfähigkeit;6BF03;Ich achte darauf, dass die Teammitglieder ihre eigenen Stärken erkennen und nutzen.;
6;Beratungs- und Führungskompetenz;Beratungsfähigkeit;6BF04;Ich fühle mich unwohl, wenn ich nicht die Kontrolle über den Ablauf eines Projekts habe.;True
6;Beratungs- und Führungskompetenz;Führungskompetenz;6FK01;Ich motiviere mein Team durch regelmäßige Rückmeldungen, um gemeinsam Ziele zu erreichen.;
6;Beratungs- und Führungskompetenz;Führungskompetenz;6FK02;Ich unterstütze mein Team dabei, Herausforderungen erfolgreich zu bewältigen.;
6;Beratungs- und Führungskompetenz;Führungskompetenz;6FK03;Ich zeige klare Richtung und Prioritäten bei der Arbeit im Team.;
6;Beratungs- und Führungskompetenz;Führungskompetenz;6FK04;Ich finde es schwierig, anderen zu vertrauen, wenn es um die Umsetzung meiner Ideen geht.;True
6;Beratungs- und Führungskompetenz;Lehrfähigkeit;6LF01;Ich erkläre Konzepte klar und verständlich für mein Team.;
6;Beratungs- und Führungskompetenz;Lehrfähigkeit;6LF02;Ich ermutige mein Team, selbstständig zu denken und Lösungen zu finden.;
6;Beratungs- und Führungskompetenz;Lehrfähigkeit;6LF03;Ich beantworte Fragen geduldig und ausführlich.;
6;Beratungs- und Führungskompetenz;Mitarbeiterförderung;6MF01;Ich habe klare Vorstellungen davon, was für meine Mitarbeitenden am besten ist.;True
6;Beratungs- und Führungskompetenz;Mitarbeiterförderung;6MF02;Ich gebe regelmäßig konstruktives Feedback. ;
6;Beratungs- und Führungskompetenz;Mitarbeiterförderung;6MF03;Ich stelle sicher, dass meine Mitarbeitenden die notwendigen Ressourcen haben, um erfolgreich zu arbeiten.;
6;Beratungs- und Führungskompetenz;Mitarbeiterförderung;6MF04;Ich frage meine Mitarbeitenden nach Feedback, um mich als Führungskraft weiterzuentwickeln.;
6;Beratungs- und Führungskompetenz;Empathie;6EM01;Die Ergebnisse der Arbeit sind mir wichtiger als die individuellen Bedürfnisse und Arbeitsweisen einzelner Mitarbeitenden. ;True
6;Beratungs- und Führungskompetenz;Empathie;6EM02;Ich zeige Verständnis für die Herausforderungen, mit denen andere konfrontiert sind.;
6;Beratungs- und Führungskompetenz;Empathie;6EM03;Ich kann mich immer in die Gefühle meiner Gesprächspartner:innen hineinversetzen.;
6;Beratungs- und Führungskompetenz;Hilfsbereitschaft;6HB01;Ich bin immer bereit, anderen bei Bedarf zu helfen.;
6;Beratungs- und Führungskompetenz;Hilfsbereitschaft;6HB02;Ich gehe aktiv auf andere zu, um Unterstützung anzubieten.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE01;Ich bin sehr pflichtbewusst.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE02;Meine Aufgaben erledige ich immer sehr genau.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE03;Ich war schon als Kind sehr ordentlich.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE04;Ich gehe immer planvoll vor.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE05;Ich habe meine festen Prinzipien und halte daran auch fest.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE06;Auch kleine Bußgelder sind mir sehr unangenehm.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE07;Auch kleine Schlampereien stören mich.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE08;Ich achte sehr darauf, dass Regeln eingehalten werden.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE09;Wenn ich mich einmal entschieden habe, dann weiche ich davon auch nicht mehr ab.;
7;Gewissenhaftigkeit;Gewissenhaftigkeit (BFT);7GE10;Ich mache eigentlich nie Flüchtigkeitsfehler.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE01;5. Ich lasse mich nicht so schnell unterkriegen.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE02;12. Auch in unerwarteten Situationen bleibe ich gelassen.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE03;17. Ich kann gut abschalten.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE04;23. Viel Stress macht mir nichts aus.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE05;33. Ich kann gut mit Druck umgehen.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE06;37. Ich bin emotional sehr belastbar.;
8;Resilienz;Affective resilience/Affektive Resilienz (STARC-5);8RE07;41. Mich bringt nichts aus der Ruhe.;
9;Management- und Organisationskompetenz;Zielorientiertes Handeln;9ZH01;Ich stelle sicher, dass alle Beteiligten ein gemeinsames Verständnis der Ziele haben.;
9;Management- und Organisationskompetenz;Zielorientiertes Handeln;9ZH02;Ich achte darauf, dass Verantwortlichkeiten und Prozesse klar definiert sind.;
9;Management- und Organisationskompetenz;Zielorientiertes Handeln;9ZH03;Ich setze messbare Kriterien zur Bewertung des Fortschritts ein.;
9;Management- und Organisationskompetenz;Zielorientiertes Handeln;9ZH04;Wenn Hindernisse auftreten, greife ich zügig ein, um sicherzustellen, dass der Prozess nicht ins Stocken gerät.;
9;Management- und Organisationskompetenz;Organisationsfähigkeit;9OF01;Ich plane und strukturiere Aufgaben so, dass sie effizient erledigt werden können.;
9;Management- und Organisationskompetenz;Organisationsfähigkeit;9OF02;Wenn neue Aufgaben in meinen Arbeitsalltag hineinfallen, fällt es mir manchmal schwerer, den Überblick zu behalten.;True
9;Management- und Organisationskompetenz;Organisationsfähigkeit;9OF03;Ich sorge dafür, dass Ressourcen optimal genutzt werden.;
9;Management- und Organisationskompetenz;Organisationsfähigkeit;9OF04;Ich setze Prioritäten klar und passe sie bei Bedarf flexibel an.;
9;Management- und Organisationskompetenz;Ausführungsbereitschaft ;9AB01;Ich bringe Aufgaben konsequent zum Abschluss. ;
9;Management- und Organisationskompetenz;Ausführungsbereitschaft ;9AB02;Ich habe manchmal Schwierigkeiten bei der termingerechten Umsetzung von Maßnahmen. ;True
9;Management- und Organisationskompetenz;Ausführungsbereitschaft ;9AB03;Ich lasse mich nicht durch unerwartete Herausforderungen von meinen Zielen abbringen.;
9;Management- und Organisationskompetenz;Ausführungsbereitschaft ;9AB04;Ich sorge dafür, dass geplante Maßnahmen nachhaltig in die Praxis überführt werden.;
9;Management- und Organisationskompetenz;Entscheidungsfähigkeit;9EF01;Es fällt mir leicht Entscheidungen zu treffen. ;
9;Management- und Organisationskompetenz;Entscheidungsfähigkeit;9EF02;Wenn ich eine Entscheidung treffe, bin ich in der Regel überzeugt, dass sie die Richtige ist.;
9;Management- und Organisationskompetenz;Projektmanagement;9PM01;Ich identifiziere und minimiere potenzielle Risiken frühzeitig.;
9;Management- und Organisationskompetenz;Projektmanagement;9PM02;Ich koordiniere unterschiedliche Stakeholder, um ein effizientes Zusammenspiel sicherzustellen.;
9;Management- und Organisationskompetenz;Projektmanagement;9PM03;Wichtige Lektionen aus vergangenen Projekten gehen im Arbeitsalltag gelegentlich verloren.;True
9;Management- und Organisationskompetenz;Konzeptionsstärke;9KS01;Ich setze vorhandene Informationen und Erfahrungen gezielt ein, um meine Arbeitsweise zu verbessern.;
9;Management- und Organisationskompetenz;Konzeptionsstärke;9KS02;Ich neige dazu, mich stärker auf etablierte Lösungen zu verlassen, anstatt neue Ansätze zu entwickeln.;True
9;Management- und Organisationskompetenz;Gestaltungsfähigkeit;9GF01;Ich begeistere andere für neue Ideen und motiviere sie zur Umsetzung.;
9;Management- und Organisationskompetenz;Gestaltungsfähigkeit;9GF02;Ich erkenne Potenziale für Verbesserungen und setze sie gezielt um.;
9;Management- und Organisationskompetenz;Gestaltungsfähigkeit;9GF03;Ich stelle sicher, dass Veränderungen nachhaltig im Arbeitsalltag verankert werden.;
9;Management- und Organisationskompetenz;Gestaltungsfähigkeit;9GF04;Ich vertrete mein Team oder meine Organisation überzeugend nach außen.;
10;Innovationsfähigkeit und Initiative;Initiative;10IN01;Ich ergreife eigenständig Maßnahmen, um Herausforderungen zu lösen.;
10;Innovationsfähigkeit und Initiative;Initiative;10IN02;Ich setze mich aktiv für Veränderungen ein, anstatt auf Anweisungen zu warten.;
10;Innovationsfähigkeit und Initiative;Individuelles Engagement (EXQ);10IE01;Ich investiere sehr viel Kraft in meine Arbeit.;
10;Innovationsfähigkeit und Initiative;Individuelles Engagement (EXQ);10IE02;Ich gebe mein Bestes, um gute Leistungen zu erbringen.;
10;Innovationsfähigkeit und Initiative;Individuelles Engagement (EXQ);10IE03;Ich arbeite mit voller Begeisterung.;
10;Innovationsfähigkeit und Initiative;Individuelles Engagement (EXQ);10IE04;Ich konzentriere mich sehr auf meine Arbeit.;
10;Innovationsfähigkeit und Initiative;Kreativität;10KR01;Ich entwickle gerne neue Ideen, um bestehende Prozesse zu verbessern.;
10;Innovationsfähigkeit und Initiative;Kreativität;10KR02;Es fällt mir leicht, kreative Lösungen für komplexe Probleme zu finden. ;
10;Innovationsfähigkeit und Initiative;Akquisitionsfähigkeit;10AF01;Ich erkenne Chancen, um neue Kund:innen oder Projekte zu gewinnen.;
10;Innovationsfähigkeit und Initiative;Akquisitionsfähigkeit;10AF02;Ich kann andere von meinen Ideen und Konzepten überzeugen.;
10;Innovationsfähigkeit und Initiative;Impulsgeben;10IG01;Ich bringe regelmäßig neue Perspektiven in Diskussionen ein.;
10;Innovationsfähigkeit und Initiative;Impulsgeben;10IG02;Ich motiviere mein Umfeld, innovative Lösungen zu erarbeiten.;
10;Innovationsfähigkeit und Initiative;Experimentierfähigkeit;10EF01;Ich probiere gerne neue Herangehensweisen aus, auch wenn sie ungewohnt sind.;
10;Innovationsfähigkeit und Initiative;Experimentierfähigkeit;10EF02;Ich gehe kalkulierte Risiken ein, um neue Möglichkeiten zu erkunden.;
10;Innovationsfähigkeit und Initiative;Innovationsfähigkeit;10IF01;Ich erkenne frühzeitig Trends und entwickle daraus neue Ideen.;
10;Innovationsfähigkeit und Initiative;Innovationsfähigkeit;10IF02;Ich treibe Innovationen aktiv voran, um mein Arbeitsumfeld zu verbessern.;
10;Innovationsfähigkeit und Initiative;Marktorientierung;10MO01;Ich beobachte Trends in meinem Arbeitsumfeld und passe meine Strategien entsprechend an.;
10;Innovationsfähigkeit und Initiative;Marktorientierung;10MO02;Ich setze mich mit den Bedürfnissen unserer Kund:innen auseinander, um relevante Lösungen zu entwickeln.;
